sl,ee,tp,scope,sharpe,total_return,max_drawdown,calmar,win_rate,profit_factor,n_bars
0.0,1.0,0.0,portfolio,3.1093289836436138,4.72219948251181,0.03512542191760291,8.880914813119771,0.549375,1.9588011428775378,1619
0.0,1.0,0.0,bitcoin,1.9135824082827249,3.243827428508607,0.07181354369799398,3.513390760007546,0.5046904315196998,1.673816497346364,1619
0.0,1.0,0.0,ethereum,0.9469517078844776,0.7566626587720664,0.15002277920674814,0.6109529030590309,0.5280289330922242,1.4724735529837973,1619
0.0,1.0,0.0,binancecoin,1.5209368482477246,3.9891960455027062,0.1455289866804669,1.9532196588831505,0.51375,1.4626397613201727,1619
0.0,1.0,0.0,solana,2.4907948851881843,22.44093481443043,0.1158347385990818,5.472885749211296,0.516875,1.7298134810360843,1619
0.0,1.0,0.01,portfolio,2.861802158232963,3.76019689469946,0.037304586014443045,7.368855196636144,0.54125,1.85935877481098,1619
0.0,1.0,0.01,bitcoin,1.7793039892593767,2.7917941261033787,0.07717142743789784,2.9874631076174922,0.5034396497811132,1.6105861850140168,1619
0.0,1.0,0.01,ethereum,0.8764148400332527,0.6764875079674957,0.15682055371949463,0.5340366364930952,0.5237226277372263,1.4336984412427272,1619
0.0,1.0,0.01,binancecoin,1.2611603368954618,2.401072119804575,0.1509328781593679,1.3906363994006974,0.5101772816808929,1.3760609200890925,1619
0.0,1.0,0.01,solana,2.357967708175587,18.508586734638573,0.11639047739446791,5.051182511958256,0.5175,1.6783366011383436,1619
0.0,1.0,0.02,portfolio,2.959748291432595,4.23439760684118,0.036855278959610195,7.973792997995771,0.543125,1.8938308689172165,1619
0.0,1.0,0.02,bitcoin,1.834471637223516,2.95959256994629,0.07462243857356675,3.201030399669479,0.5021888680425266,1.635111730564206,1619
0.0,1.0,0.02,ethereum,0.9007994280436631,0.7027916886253684,0.1551524600062936,0.5567250887136561,0.5237226277372263,1.447438700631247,1619
0.0,1.0,0.02,binancecoin,1.4058194595379518,3.378412713905435,0.14798317631422872,1.7462087361529897,0.51,1.420133768549855,1619
0.0,1.0,0.02,solana,2.4017214335380155,19.70221731800181,0.1155468658097035,5.215680215632591,0.51875,1.6953491417280815,1619
0.0,1.0,0.03,portfolio,3.0109521449207617,4.3849087613106645,0.036285595959075365,8.256670702677432,0.544375,1.9153186041839028,1619
0.0,1.0,0.03,bitcoin,1.8623390604265784,3.05468398231303,0.07181354369799413,3.3900759963568916,0.5053158223889931,1.6482317184520034,1619
0.0,1.0,0.03,ethereum,0.9161359700958801,0.7196903326734794,0.15263280171524438,0.5768642411311127,0.5237226277372263,1.4576021563250976,1619
0.0,1.0,0.03,binancecoin,1.448386519757221,3.5872708116546708,0.1480543417334227,1.8072432131222302,0.5125,1.435605930431253,1619
0.0,1.0,0.03,solana,2.4253739520267334,20.394597034875005,0.11583473859908193,5.273746540346312,0.518125,1.7039505749044364,1619
0.0,1.0,0.05,portfolio,3.0516855589536656,4.525386721379921,0.035591183673979655,8.56442662799483,0.549375,1.933633682030559,1619
0.0,1.0,0.05,bitcoin,1.8812044395764589,3.1350394308961107,0.07185380034580983,3.441117045067701,0.5053158223889931,1.6580630493414177,1619
0.0,1.0,0.05,ethereum,0.9297449072113677,0.7357004389263448,0.15136879085728186,0.5920568663038951,0.5255474452554745,1.4661557647318504,1619
0.0,1.0,0.05,binancecoin,1.484955850011628,3.7816143276187155,0.14805434173342233,1.8627162822674932,0.5125,1.4486190054920172,1619
0.0,1.0,0.05,solana,2.4487932075159216,21.097145514448997,0.11583473859908203,5.343861172581187,0.516875,1.7130904686223747,1619
0.0,1.0,0.08,portfolio,3.0851031842154075,4.628181958594725,0.03546291642372736,8.701122838023833,0.5475,1.9475221852200373,1619
0.0,1.0,0.08,bitcoin,1.9044079366934092,3.2033756955236488,0.07181354369799398,3.487413539363579,0.5053158223889931,1.6684353281022,1619
0.0,1.0,0.08,ethereum,0.9372841903614711,0.7451545526952899,0.15081469779472387,0.6003433915658287,0.5255474452554745,1.4712294170470541,1619
0.0,1.0,0.08,binancecoin,1.503347683762646,3.8799568764491488,0.14805434173342305,1.8900649644641025,0.51375,1.4555613930451108,1619
0.0,1.0,0.08,solana,2.4712936400469068,21.801544278511226,0.11583473859908221,5.412295592788466,0.5175,1.7220017713177191,1619
0.0,1.0,0.12,portfolio,3.0894672301893427,4.652665379668293,0.03559118367397947,8.694614168503202,0.549375,1.950792831324749,1619
0.0,1.0,0.12,bitcoin,1.9002579027699387,3.1983447541302192,0.07181354369799367,3.4841680363460914,0.5046904315196998,1.6670807172521773,1619
0.0,1.0,0.12,ethereum,0.9402133449644033,0.7479854664567391,0.15081469779472328,0.6021679063463033,0.5255474452554745,1.4728679793535862,1619
0.0,1.0,0.12,binancecoin,1.509380781718453,3.9227756802189724,0.14552898668046552,1.9348297922114939,0.51375,1.4581560246400669,1619
0.0,1.0,0.12,solana,2.4756535026135893,21.982355536587363,0.11583473859908168,5.42957369980246,0.516875,1.7240568609355553,1619
0.005,1.0,0.0,portfolio,3.2777454475545382,6.738036086800159,0.03639849977638031,10.303851751094482,0.55625,2.041548562044356,1619
0.005,1.0,0.0,bitcoin,1.9673143683564103,3.4286135160086593,0.06990374982613085,3.7286199079313738,0.5115697310819262,1.6980477079258018,1619
0.005,1.0,0.0,ethereum,1.7835814104228944,4.053539335957415,0.14576797521880933,1.9676071549036633,0.535,1.5266362447494142,1619
0.005,1.0,0.0,binancecoin,1.5738825827729954,4.293053904907439,0.1416516503344355,2.090498542862612,0.515625,1.482145701661911,1619
0.005,1.0,0.0,solana,2.5171760234310496,23.258553178117385,0.11516348599906953,5.580703828408754,0.520625,1.7402660702168795,1619
0.005,1.0,0.01,portfolio,2.9844209573739473,4.304233774577056,0.037216203926480174,7.968257805846983,0.546875,1.903833109052577,1619
0.005,1.0,0.01,bitcoin,1.869052812876208,3.0743312989196143,0.07147556628583858,3.4192006028747524,0.5103189493433395,1.650003118962386,1619
0.005,1.0,0.01,ethereum,0.90641695273993,0.7095348815389744,0.15015606556673228,0.5797020943163966,0.531021897810219,1.4514811120312912,1619
0.005,1.0,0.01,binancecoin,1.4202786904988847,3.4394718166084663,0.14875793345657262,1.755369381135548,0.510625,1.4244126096038912,1619
0.005,1.0,0.01,solana,2.407804586674251,19.84313815133824,0.11571964670778699,5.222524579748903,0.520625,1.697313611928318,1619
0.005,1.0,0.02,portfolio,3.149570166353662,6.110299087789437,0.03748454001603192,9.525417983223022,0.551875,1.9814510751976098,1619
0.005,1.0,0.02,bitcoin,1.9110765324603711,3.212347562387272,0.07063900042932902,3.5512759743245543,0.5096935584740463,1.6693046637350615,1619
0.005,1.0,0.02,ethereum,1.720390176463492,3.7492916842548425,0.14803410007946982,1.8538772142479134,0.533125,1.5031615991934941,1619
0.005,1.0,0.02,binancecoin,1.4686900380312564,3.696017293814907,0.1434538550871749,1.897483142253712,0.511875,1.4421839610898342,1619
0.005,1.0,0.02,solana,2.4417664160794907,20.825874837628668,0.1148753946585136,5.361417712394913,0.520625,1.710859777322522,1619
0.005,1.0,0.03,portfolio,3.194985880644647,6.314898698773994,0.03663341249462706,9.910664521214393,0.551875,2.002235435342348,1619
0.005,1.0,0.03,bitcoin,1.9313006685899132,3.2875946526329676,0.0699037498261315,3.638011175173854,0.5115697310819262,1.6793590454055498,1619
0.005,1.0,0.03,ethereum,1.7410672221073102,3.848331963620005,0.14805215406838682,1.8813491632492463,0.533125,1.51099701489582,1619
0.005,1.0,0.03,binancecoin,1.5103504932730818,3.917382867383165,0.14352539882172,1.9603163933791503,0.514375,1.458052874454893,1619
0.005,1.0,0.03,solana,2.4624110722009944,21.462236999741144,0.11516348599906932,5.410912933785934,0.520625,1.7184633624485126,1619
0.005,1.0,0.05,portfolio,3.2297810389556654,6.497001953343717,0.03639849977638021,10.118234153028586,0.55625,2.0183304281261765,1619
0.005,1.0,0.05,bitcoin,1.9445759071397346,3.350484823582189,0.06990374982613087,3.678726117784287,0.5121951219512195,1.687308106421895,1619
0.005,1.0,0.05,ethereum,1.7628712822410948,3.9514698567053186,0.14709309868751988,1.9221411903142682,0.534375,1.5189162533051987,1619
0.005,1.0,0.05,binancecoin,1.54016414795454,4.08507603398646,0.14352539882172055,2.007036911074399,0.514375,1.4686522705866634,1619
0.005,1.0,0.05,solana,2.4830983261077937,22.124299017062018,0.11516348599906918,5.474783322891515,0.520625,1.7262802195984925,1619
0.005,1.0,0.08,portfolio,3.2542552844302493,6.614562327936414,0.036398499776380204,10.209385731683946,0.555625,2.030326481130117,1619
0.005,1.0,0.08,bitcoin,1.9596103814758488,3.3917348682512287,0.06990374982613062,3.705162229659401,0.5115697310819262,1.6933850875984406,1619
0.005,1.0,0.08,ethereum,1.7677678519015891,3.9824819043044783,0.14710320893622172,1.9304875811797384,0.53375,1.5209398597917918,1619
0.005,1.0,0.08,binancecoin,1.5582044530952899,4.19005376775587,0.14352539882172058,2.035626447158848,0.515625,1.47576459078049,1619
0.005,1.0,0.08,solana,2.5019029613388972,22.73338298420441,0.11516348599906914,5.532193416345323,0.52125,1.7341601930078359,1619
0.005,1.0,0.12,portfolio,3.2584874300224884,6.647707887245116,0.03639849977638072,10.234870658666463,0.556875,2.0330425158172813,1619
0.005,1.0,0.12,bitcoin,1.9566207818629215,3.391207433804097,0.0699037498261313,3.7048255359677773,0.5115697310819262,1.6926070093005883,1619
0.005,1.0,0.12,ethereum,1.7750772976756222,4.0168030336447975,0.14710320893622023,1.9398189743015146,0.534375,1.5236881550230774,1619
0.005,1.0,0.12,binancecoin,1.5621884053851258,4.221727592752395,0.14165165033443577,2.0711963867542766,0.515625,1.4775279377808772,1619
0.005,1.0,0.12,solana,2.503589481361267,22.834863057808565,0.11516348599906946,5.541637381587006,0.520625,1.7350228281063866,1619
0.01,1.0,0.0,portfolio,3.301850519405153,6.863450848132937,0.03574145012261692,10.5896687436148,0.559375,2.0521815915653168,1619
0.01,1.0,0.0,bitcoin,1.9890872674254336,3.5074341759134144,0.06838555650650138,3.8620861773813555,0.5115697310819262,1.7075629271553048,1619
0.01,1.0,0.0,ethereum,1.7952646568045758,4.112431057114767,0.14412546739785845,2.0061468709638075,0.534375,1.530826904154976,1619
0.01,1.0,0.0,binancecoin,1.588834005701427,4.385212278136002,0.14004396420897597,2.139396868281916,0.516875,1.4876825140811134,1619
0.01,1.0,0.0,solana,2.529870651093635,23.69137492521011,0.11453245981251135,5.650985824036068,0.5225,1.7451439086523433,1619
0.01,1.0,0.01,portfolio,2.9726885028400214,4.483322786577719,0.03672633728155257,8.257478520253557,0.54875,1.912473633011357,1619
0.01,1.0,0.01,bitcoin,1.9099553373686475,3.2150336594636126,0.06912200725705454,3.6310100827745786,0.5103189493433395,1.6684514860757325,1619
0.01,1.0,0.01,ethereum,0.8734881615572129,0.7253612448212667,0.15198822414304486,0.5829800696080841,0.5462068965517242,1.385971180736732,1619
0.01,1.0,0.01,binancecoin,1.4596531600065221,3.6404284472064825,0.14723408517395556,1.8327645921705236,0.51375,1.4384651771561265,1619
0.01,1.0,0.01,solana,2.4415275016463305,20.82399151808247,0.11466277953509195,5.371169915613946,0.521875,1.7099384041240937,1619
0.01,1.0,0.02,portfolio,3.1967512496136425,6.337579674407317,0.03639262948052111,9.994288696399725,0.554375,2.002028340750059,1619
